Date,^DJI,^GSPC,^RUT
2000-01-04,-0.03217213363303454,-0.03909917534093802,-0.03701696370717311
2000-01-05,0.011276560046238136,0.0019203379615859075,0.0009401943703416641
2000-01-06,0.011674238719869164,0.0009552217400569889,-0.007315270570744267
2000-01-07,0.023648971887853136,0.02672994972987063,0.026920115322779867
2000-01-10,0.00429887142811052,0.011127824873139451,0.027430556289428566
2000-01-11,-0.005295630369653878,-0.013148576788902815,-0.018663245170622445
2000-01-12,0.003470580141307567,-0.004396019678609715,-0.005230718327454723
2000-01-13,0.002708630998567966,0.012096245165416932,0.0224982377159997
2000-01-14,0.012061790316238882,0.010614763497340866,0.012629650139467796
2000-01-18,-0.013937936636447818,-0.006855516976735141,0.011557246622428874
2000-01-19,-0.006191701090349376,0.0005221568736222691,0.012695137591900798
2000-01-20,-0.012089162691810653,-0.007120612569861287,0.01386446237377578
2000-01-21,-0.008812143979349003,-0.0029165681339535805,0.012551705362526002
2000-01-24,-0.02188239633921216,-0.028022584228459112,-0.020797597126348967
2000-01-25,0.00197111125192027,0.006046483603040547,-0.002603990405693958
2000-01-26,0.0002810681084592485,-0.004221619766667546,-0.0010551180698399401
2000-01-27,-0.00045063242906145403,-0.003946204024482488,-0.007745175811063793
2000-01-28,-0.026569383914928878,-0.02784081272973308,-0.024275935156297754
2000-01-31,0.018604386577825722,0.024904850529124643,-0.016766110038189147
2000-02-01,0.009145860449480809,0.010571740915406745,0.015040562199064668
2000-02-02,-0.003433969998436318,-0.00011356385074743024,0.01211493164796161
2000-02-03,0.00093022684866804,0.011185347697919614,0.022763488747750384
2000-02-04,-0.004517465240461121,-0.00042113303572190804,0.007429752093181445
2000-02-07,-0.005305074497577641,-9.12760143166444e-05,0.012988045239233737
2000-02-08,0.004739399345118602,0.01219849367259354,0.009533806019623677
2000-02-09,-0.023867995472440034,-0.02103511705975112,-0.002775975937841621
2000-02-10,-0.005203668184021215,0.00362024285277645,0.011519259726767296
2000-02-11,-0.02073467251329401,-0.021192298989189638,-0.00946916934149541
2000-02-14,0.009036075595596032,0.0020308868535491302,0.005273775339463376
2000-02-15,0.01866997033271417,0.008674947553079746,0.0005554403945923906
2000-02-16,-0.014726146661806874,-0.010309372816680578,0.013823785450969364
2000-02-17,-0.004444862808310686,0.0004250581374747612,0.019274084180649874
2000-02-18,-0.028462373005553387,-0.03084710308169203,-0.02307862689747151
2000-02-22,0.008314101543049545,0.004506673481115292,-0.008705834224780926
2000-02-23,-0.00770653375189441,0.006281139106337607,0.016427703937375995
2000-02-24,-0.013101695960815696,-0.005349730316245383,0.007482267011053936
2000-02-25,-0.023104275375172612,-0.014940089385435541,0.00486148040448839
2000-02-28,0.017741514455696085,0.010957078745980514,0.001686980992356757
2000-02-29,0.008891748740397852,0.013535073096645703,0.03528674264919313
2000-03-01,0.0009493737627074795,0.009302114728482016,0.01824991672015802
2000-03-02,0.002658764734394716,0.0018617281349938522,-0.007352531402594486
2000-03-03,0.019704425757585194,0.019642853797381482,0.023420637072962967
2000-03-06,-0.019155621918127603,-0.012776701994211102,0.006269211050034115
2000-03-07,-0.03751414358760042,-0.025965297120289534,-0.010308323641512043
2000-03-08,0.006156977964981218,0.008140128606934442,-0.0013275270640980942
2000-03-09,0.015523357127977182,0.025279570403423504,0.018939037345651926
2000-03-10,-0.008215893918469358,-0.004734054939684533,-0.0037028959068859694
2000-03-13,0.0018423849236608811,-0.008241305233129576,-0.0228997531587294
2000-03-14,-0.013755364462289074,-0.017843727175416074,-0.029491574196753755
2000-03-15,0.032111823411358396,0.023982619773033384,-0.02495136827940864
2000-03-16,0.04809608352192997,0.04654577885905088,0.02713053116033458
2000-03-17,-0.003332653962711376,0.004105461314759303,0.0009225843638701676
2000-03-20,0.007991383055160783,-0.005367830413634725,-0.04550729863624577
2000-03-21,0.02104061564255331,0.025244513080495853,0.006515446695404045
2000-03-22,-0.0037328576189583716,0.004521628609461416,0.032743765327417566
2000-03-23,0.02302964527285751,0.017642498044501166,0.004541529282783459
2000-03-24,-0.0006423568673037092,7.200798340682352e-05,0.00038339735723402996
2000-03-27,-0.007847893124941009,-0.002359619652895298,-0.0006273379792752602
2000-03-28,-0.008172290398294977,-0.010641384406600805,-0.025798509162885654
2000-03-29,0.007525429672420952,0.0005238551715322017,-0.029111667707490647
2000-03-30,-0.003497415220244408,-0.013749849620433678,-0.021274414317382695
2000-03-31,-0.005326432608213978,0.007138762685515928,0.014047677051083039
2000-04-03,0.027098099830505203,0.004919225661762653,-0.04369834339006734
2000-04-04,-0.005100331017260287,-0.0074916139480272976,-0.01941045360404471
2000-04-05,-0.011795383271208028,-0.004936119081060472,0.023278631266881726
2000-04-06,0.0072556686444598,0.009348563512982749,0.02753048064317457
2000-04-07,-0.0002509757839119078,0.009948095294857916,0.019507987989605586
2000-04-10,0.006734169026617942,-0.007872111321383407,-0.04584237483456496
2000-04-11,0.008945696356645017,-0.002575662535388924,-0.016582905969747777
2000-04-12,-0.014452212826421873,-0.022522936175410978,-0.033264328886236254
2000-04-13,-0.01828551166261738,-0.018338180821660742,-0.008588987335699468
2000-04-14,-0.05821710410515053,-0.060045097522022965,-0.0753320181656627
2000-04-17,0.02649872914546261,0.03254811081334026,0.012136249373276033
2000-04-18,0.01732228467594701,0.028260296800704302,0.056777264652659275
2000-04-19,-0.008624092521541326,-0.00985690838193474,0.0002880011690607345
2000-04-20,0.01571571608366263,0.004940641519006726,-0.009069684441065227
2000-04-24,0.005705705449878584,-0.0032677404242178448,-0.027990605995229876
